address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 은평구 연서로29길 11-9 2층 (우)03331,,테마카페,,e10,https://place.map.kakao.com/1260511331#comment,0/5,e,CSI방탈출카페 연신내점,
서울 강남구 테헤란로64길 24 유경빌딩 (우)06198,,테마카페,,e14,https://place.map.kakao.com/2061692193#comment,0/5,e,CSI VR방탈출카페 대치선릉점,
서울 구로구 디지털로32나길 17-12 3층 (우)08391,,테마카페,,e16,https://place.map.kakao.com/1757443413#comment,0/5,e,코난방탈출 구로디지털단지역점,
서울 강남구 봉은사로2길 31 지하1층 (우)06123,,테마카페,,e18,https://place.map.kakao.com/1528582359#comment,0/5,e,코드케이 강남점,매일 10:00 ~ 23:00
서울 마포구 독막로3길 30 (우)04047,,테마카페,,e19,https://place.map.kakao.com/1246652450#comment,0/5,e,비트포비아 던전홍대점,"월~금 11:50 ~ 23:50
더보기"
서울 강남구 강남대로96길 17 (우)06129,,테마카페,,e111,https://place.map.kakao.com/1405262610#comment,0/5,e,키이스케이프 강남점,
"서울 광진구 아차산로 192 별관 2,3층 (우)05071",,테마카페,,e112,https://place.map.kakao.com/287949141#comment,0/5,e,넥스트에디션 건대2호점,
서울 서초구 사평대로56길 14 지하1층 (우)06609,,테마카페,,e113,https://place.map.kakao.com/1131371875#comment,0/5,e,넥스트에디션 강남신논현점,
서울 서초구 서초대로77길 11 S호텔빌딩 지하1층 (우)06615,,테마카페,,e114,https://place.map.kakao.com/1529768176#comment,0/5,e,서울이스케이프룸 강남1호점,매일 10:00 ~ 23:30
서울 마포구 와우산로23길 8 더모임빌딩 지하1층 (우)04054,,테마카페,,e20,https://place.map.kakao.com/902163133#comment,0/5,e,룸즈에이 홍대점,매일 10:50 ~ 23:30
서울 마포구 어울마당로 55-1 (우)04048,"아직도 방탈출카페에서 자물쇠만 풀고 탈출하십니까??

홍대 코마이스케이프에서만 만날 수 있는 영화 같은 모험들!
영화를 보는 듯한 흥미진진한 스토리! 피부에 와닿는 몰입감!
홍대, 약 100평 규모의 초대형 방탈출카페 코마이스케이프 홍대점.

방탈출카페 코마이스케이프에서는 특수장비셋팅 및 고객님의 소중한 대기시간을 줄이기 위해
100% 예약제를 시행하고 있습니다.

홍대 방탈출카페 코마이스케이프은 오프라인 방탈출게임을 즐길 수 있는 카페로 60분동안 주어진 단서들로 추리하여 탈출하는 테마형 카페입니다.
해외에서만 만나볼 수 있었던 고가의 특수장비들, 영화에서만 볼 수 있던 레이저 장애물을 통과해서 비밀번호를 푸는 시스템 도입, 문에 손을 대서 문이 열리는 차별화된 시스템으로 영화 속 주인공이 되어보세요!

친구와, 연인과, 가족과, 동료와! 함께라면 더욱 즐겁습니다! 홍대 방탈출카페 코마이스케이프에서 지루한 일상을 벗어나 잊을 수 없는 추억을 만드세요.",보드카페,,e21,https://place.map.kakao.com/2136532504#comment,0/5,e,코마이스케이프 홍대점,"매일 10:00 ~ 23:30
더보기"
서울 마포구 양화로16길 15 무광빌딩 4층 (우)04039,,테마카페,,e22,https://place.map.kakao.com/27413260#comment,0/5,e,큐브이스케이프 홍대점,"월,화,수,목,일 10:00 ~ 23:45
더보기"
서울 마포구 어울마당로 94-14 2층 (우)04040,오프라인 방탈출 카페,서바이벌게임,,e23,https://place.map.kakao.com/26935271#comment,0/5,e,더클루 홍대역점,
서울 마포구 연희로1길 7 2층 3층 (우)03985,,테마카페,,e24,https://place.map.kakao.com/969459474#comment,0/5,e,이스케이퍼스,
서울 강남구 봉은사로6길 26 지하1층 (우)06123,,테마카페,,e25,https://place.map.kakao.com/1241796808#comment,0/5,e,마스터키 강남점,
서울 강남구 강남대로84길 33 대우디오빌플러스 지하1층 111호 (우)06233,,테마카페,,e26,https://place.map.kakao.com/27413263#comment,0/5,e,비트포비아 강남던전점,월~금 11:30 ~ 23:00
서울 강남구 봉은사로 115 노벨테크빌딩 지하2층 (우)06120,,테마카페,,e27,https://place.map.kakao.com/669796134#comment,0/5,e,비트포비아 신논현점,"월~금 12:00 ~ 24:00
더보기"
서울 마포구 어울마당로 44-1 지하 1층 (우)04049,방탈출카페,테마카페,,e28,https://place.map.kakao.com/200411443#comment,0/5,e,키이스케이프 홍대점,
서울 강남구 강남대로102길 20 3층 (우)06128,,테마카페,,e29,https://place.map.kakao.com/1553306223#comment,0/5,e,서울이스케이프룸 강남2호점,
서울 마포구 잔다리로 5-1 상아빌딩 5층 (우)04049,방탈출카페,테마카페,,e210,https://place.map.kakao.com/27223158#comment,0/5,e,미스터리룸이스케이프 홍대점,매일 10:30 ~ 23:30
서울 송파구 올림픽로8길 10 4층 (우)05556,방탈출 카페,테마카페,,e211,https://place.map.kakao.com/466116790#comment,0/5,e,큐브이스케이프 잠실점,"월,화,수,목,일 10:00 ~ 23:20
더보기"
서울 광진구 동일로 112 (우)05020,방탈출카페,테마카페,,e212,https://place.map.kakao.com/27354377#comment,0/5,e,엑스케이프,"매일 10:00 ~ 24:00
더보기"
서울 강남구 강남대로 480 보라티알빌딩 지하2층 (우)06120,,테마카페,,e213,https://place.map.kakao.com/656906066#comment,0/5,e,480번가,"월~금 14:00 ~ 01:00
더보기"
서울 마포구 잔다리로 39 로뎀빌딩 지하1층 (우)04043,"호텔 드 코드 는
1. HOTEL 과 ‘해독하다’ 라는 뜻을 지닌 decode 의 합성어로 암호를 해독하는 곳(호텔)
2. Hôtel de code 즉, 암호로 이루어진 호텔
이라는 두가지 의미를 내포하고 있는
“곳곳에 숨겨진 암호를 해독해야 하는 새로운 공간(호텔)”
컨셉을 가진 복합문화 놀이공간입니다.",테마카페,,e30,https://place.map.kakao.com/616801218#comment,0/5,e,호텔드코드,매일 10:00 ~ 23:40
서울 마포구 와우산로21길 20-5 홍대프라자 3층 (우)04040,,테마카페,,e32,https://place.map.kakao.com/1772415237#comment,0/5,e,엑스이스케이프 홍대놀이터점,연중무휴
서울 중구 명동8나길 6 (우)04536,,테마카페,,e33,https://place.map.kakao.com/1587350979#comment,0/5,e,키이스케이프 명동점,
서울 마포구 홍익로 19 (우)04040,,테마카페,,e34,https://place.map.kakao.com/349904237#comment,0/5,e,비밀의화원 홍대점,
서울 서초구 서초대로77길 37 5층 501호 (우)06612,,테마카페,,e35,https://place.map.kakao.com/27367643#comment,0/5,e,미스터리룸 이스케이프 강남점,매일 10:00 ~ 24:00
서울 영등포구 영중로8길 6 성남빌딩 구관 401호 (우)07302,,테마카페,,e36,https://place.map.kakao.com/1444854771#comment,0/5,e,이스케이프시티,"월~금 14:00 ~ 23:00
더보기"
서울 양천구 신정중앙로 96 4층 (우)07945,,테마카페,,e37,https://place.map.kakao.com/27178625#comment,0/5,e,패닉이스케이프 목동지점,
서울 마포구 홍익로3길 44 호곡빌딩 7층 (우)04039,방탈출카페,테마카페,,e38,https://place.map.kakao.com/829247174#comment,0/5,e,엑스케이프 홍대점,
서울 송파구 백제고분로7길 27 5층 (우)05557,,테마카페,,e39,https://place.map.kakao.com/967129600#comment,0/5,e,마스터키 잠실점,
서울 마포구 독막로7길 41 2층 (우)04047,,테마카페,,e310,https://place.map.kakao.com/727312827#comment,0/5,e,미스터리룸이스케이프 홍대2호점,매일 10:30 ~ 23:30
서울 종로구 대학로10길 12 5층 (우)03086,"Beat Phobia는 2007년 일본과 헝가리에서
생겨나 세계적으로 유행중인 방탈출 게임입
니다.
기존의 TV나 컴퓨터 게임과 달리 직접 주인공
이 되어 문제를 해결하는 Live Real Activity
입니다.",테마카페,,e311,https://place.map.kakao.com/1432484184#comment,0/5,e,비트포비아 대학로점,매일 10:00 ~ 23:00
서울 강남구 강남대로 446 강남한웰빌딩 5층 (우)06123,오프라인 방탈출 카페,테마카페,,e312,https://place.map.kakao.com/27383491#comment,0/5,e,더클루 강남점,매일 10:30 ~ 23:00
서울 강남구 봉은사로18길 76 스타팰리스 3층 (우)06128,방탈출카페,테마카페,,e313,https://place.map.kakao.com/27583747#comment,0/5,e,더메이즈,매일 10:00 ~ 24:00
서울 마포구 와우산로 102 3층 (우)04059,방탈출카페,테마카페,,e314,https://place.map.kakao.com/451924760#comment,0/5,e,브레이크아웃이스케이프 홍대점,"월~금 13:00 ~ 23:00
더보기"
서울 종로구 동숭길 143 로얄캐스트빌딩 지하 1층 (우)03086,,테마카페,,e41,https://place.map.kakao.com/203642029#comment,0/5,e,덤앤더머,매일 10:00 ~ 01:00
서울 송파구 백제고분로7길 31 4층 (우)05557,,테마카페,,e43,https://place.map.kakao.com/324852385#comment,0/5,e,셜록홈즈 잠실2호점,매일 10:00 ~ 23:30
서울 종로구 창경궁로 258-12 2층 (우)03077,,테마카페,,e44,https://place.map.kakao.com/27587673#comment,0/5,e,시크릿챔버,"매일 10:30 ~ 24:00
더보기"
서울 서초구 강남대로79길 59 지하3층 (우)06542,방탈출카페,테마카페,,e45,https://place.map.kakao.com/467343710#comment,0/5,e,넥스트에디션 강남점,
서울 광진구 아차산로26길 13 지하1층 (우)05072,,테마카페,,e46,https://place.map.kakao.com/138006966#comment,0/5,e,더메이즈 건대점,
서울 마포구 독막로5길 23 (우)04047,,테마카페,,e47,https://place.map.kakao.com/1960249540#comment,0/5,e,엑소더스 홍대점,"매일 12:00 ~ 24:00
더보기"
서울 마포구 와우산로27길 21 4층 (우)04054,,테마카페,,e48,https://place.map.kakao.com/27369058#comment,0/5,e,리얼이스케이프챌린지,매일 10:00 ~ 24:00
서울 노원구 상계로5길 26 6층 (우)01693,,테마카페,,e49,https://place.map.kakao.com/1161456883#comment,0/5,e,더메이즈 노원점,매일 10:00 ~ 23:00
서울 마포구 와우산로27길 35 제너럴빌딩 3~4층 (우)04054,,테마카페,,e411,https://place.map.kakao.com/120702714#comment,0/5,e,셜록홈즈 홍대점,매일 10:00 ~ 24:00
"서울 광진구 광나루로 369 광진두산위브파크 2층 211, 212호 (우)05005",방탈출카페,테마카페,,e412,https://place.map.kakao.com/331658455#comment,0/5,e,더박스 건대본점,"월~금 12:00 ~ 24:00
더보기"
서울 서대문구 연세로 35 지하 1층 (우)03788,오프라인 방탈출 이색카페,테마카페,,e413,https://place.map.kakao.com/2021048666#comment,0/5,e,탐정크루,매일 10:30 ~ 23:00
서울 마포구 와우산로27길 39 3층 (우)04054,,테마카페,,e414,https://place.map.kakao.com/1265971384#comment,0/5,e,마스터키 홍대점,
서울 종로구 대학로10길 5 4층 (우)03086,,테마카페,,e60,https://place.map.kakao.com/1244045579#comment,0/5,e,셜록홈즈 대학로점,"월~금 12:00 ~ 23:30
더보기"
"서울 송파구 백제고분로7길 19 3,4층 (우)05556",,테마카페,,e62,https://place.map.kakao.com/2044407365#comment,0/5,e,설록홈즈 잠실점,
서울 영등포구 영중로4길 25-1 4층 (우)07304,,테마카페,,e63,https://place.map.kakao.com/967615975#comment,0/5,e,셜록홈즈 영등포점,
서울 관악구 남부순환로176길 8 3층 (우)08776,"신림역 방탈출카페, 서울대와 멘사 creator들이 합작한 명품 방탈출카페.",테마카페,,e64,https://place.map.kakao.com/27392231#comment,0/5,e,셜록홈즈 신림점,매일 12:00 ~ 23:00
서울 마포구 독막로 65-1 상수동오피스텔 지하1층 (우)04049,,테마카페,,e66,https://place.map.kakao.com/751793807#comment,0/5,e,마스터키 홍대상수점,
서울 강남구 테헤란로6길 30 지하1층 (우)06240,,테마카페,,e67,https://place.map.kakao.com/400448256#comment,0/5,e,키이스케이프 강남더오름,
서울 서대문구 이화여대길 75 4층 (우)03766,"방탈출 까페란?
영화와 책으로만 상상하던 배우가 되고싶으신가요?? 혹은 내가 만약 위급하거나 어딘가에 고립되었다는 느낌이 들었을때 어떻게 하실건가요?? 이런 것들이 모두 현실이되는 매우 재미있는 공간입니다.

비트포비아를 검색하셔서 홈페이지에 들어가시면 어떤곳인지 조금더 알아보실 수 있습니다.

요즘 SNS,블로그등을 뜨겁게 달구고 있는 방탈출 까페의 중심인 비트포비아 신촌점입니다.

전화 및 온라인(홈페이지) 예약하시면 더 편리하게 이용해보실 수 있으세요!",테마카페,,e68,https://place.map.kakao.com/27494903#comment,0/5,e,비트포비아 신촌점,"매일 12:00 ~ 24:00
더보기"
서울 강북구 도봉로 363 구봉빌딩 4층 (우)01054,방탈출카페,테마카페,,e69,https://place.map.kakao.com/911063716#comment,0/5,e,더트랩 수유점,매일 11:00 ~ 23:30
서울 종로구 대학로10길 15-15 해안빌딩 지하 1층 (우)03086,,테마카페,,e610,https://place.map.kakao.com/1588388344#comment,0/5,e,룸즈에이,매일 11:00 ~ 22:40
서울 마포구 독막로7길 27 3층 (우)04047,,테마카페,,e611,https://place.map.kakao.com/27469246#comment,0/5,e,더큐이스케이프 홍대점,
서울 강남구 봉은사로18길 80 지하1층 (우)06129,,테마카페,,e612,https://place.map.kakao.com/1780306962#comment,0/5,e,이스케이프탑 강남점,"월~금 14:00 ~ 23:00
더보기"
서울 노원구 상계로 93 경일빌딩 3층 (우)01692,방탈출게임,테마카페,,e613,https://place.map.kakao.com/852872249#comment,0/5,e,더코드 노원점,매일 10:00 ~ 22:00
서울 광진구 광나루로 373 2층 (우)05005,방탈출카페,테마카페,,e70,https://place.map.kakao.com/2080987899#comment,0/5,e,메이즈이스케이프,매일 10:00 ~ 22:30
서울 마포구 독막로7길 23 3층 (우)04047,,테마카페,,e71,https://place.map.kakao.com/2009541081#comment,0/5,e,더히든 홍대점,매일 10:30 ~ 22:30
서울 마포구 와우산로17길 19-24 지하1층 (우)04049,,테마카페,,e72,https://place.map.kakao.com/1117885199#comment,0/5,e,이스케이퍼스 2호점,
서울 광진구 아차산로 220 (우)05072,,테마카페,,e74,https://place.map.kakao.com/687672590#comment,0/5,e,코드네임블랙 건대점,매일 10:00 ~ 24:00
서울 마포구 와우산로 180 호평빌딩 3층 (우)04057,방탈출카페,테마카페,,e75,https://place.map.kakao.com/1074535859#comment,0/5,e,두이스케이프,매일 10:00 ~ 24:00
서울 강남구 봉은사로2길 24 3층 (우)06123,,테마카페,,e76,https://place.map.kakao.com/537949023#comment,0/5,e,셜록홈즈 강남1호점,
서울 광진구 동일로 96 지하1층 (우)05071,방탈출카페,테마카페,,e77,https://place.map.kakao.com/671151862#comment,0/5,e,마스터키 건대점,매일 11:00 ~ 24:00
서울 종로구 대학로 130 (우)03086,,테마카페,,e79,https://place.map.kakao.com/1538791500#comment,0/5,e,비밀의화원 대학로점,
서울 종로구 대학로12길 49 3층 (우)03086,"서울 대학로를 대표하는 방탈출카페
에니그마 이스케이프룸 대학로점입니다.

방탈출 카페 (또는 이스케이프 게임)은 한 방에 갇힌 플레이어들이
그 안에 숨겨진 수수께끼를 찾아내 풀어야 하는 탈출 게임입니다.
본래 온라인 게임으로 시작된 방탈출 카페는 현재 파리에서 방콕에
이르기까지 전 세계에서 오프라인 형태로 선풍적 인기를 끌고 있습니다.

에니그마 방탈출 카페는 한국의 정통 오프라인 방탈출 카페입니다.
여러분의 팀이 방에 들어가고 나면 문이 잠깁니다.
방 곳곳에는 탈출에 필요한 힌트, 퍼즐, 코드, 수수께끼들이 숨겨져 있습니다.
탈출하려면 제한시간 60분 내에 모든 문제를 찾아내 풀어야 합니다.

이용 대상: 학생, 연인, 회사 동료, 친구, 가족.",테마카페,,e710,https://place.map.kakao.com/1895387562#comment,0/5,e,이스케이프룸 에니그마 대학로점,"매일 10:00 ~ 24:00
더보기"
서울 서대문구 명물길 19 지하1층 (우)03776,,테마카페,,e711,https://place.map.kakao.com/72705514#comment,0/5,e,탐정크루 신촌2호점,매일 12:00 ~ 23:00
서울 서초구 서초대로77길 43 경원빌딩 4층 (우)06612,,테마카페,,e713,https://place.map.kakao.com/300180781#comment,0/5,e,셜록홈즈 강남2호점,
서울 마포구 와우산로19길 9 지하1층 (우)04041,,테마카페,,e714,https://place.map.kakao.com/416094158#comment,0/5,e,오픈더도어 홍대점,
서울 강남구 강남대로 432 7층 (우)06129,,테마카페,,e80,https://place.map.kakao.com/342182093#comment,0/5,e,시크릿코드 강남스파오점,매일 10:00 ~ 23:00
서울 관악구 신림로59길 9 4층 (우)08776,,테마카페,,e83,https://place.map.kakao.com/1647497159#comment,0/5,e,비트포비아 신림점,
서울 동작구 만양로 102-2 지하1층 (우)06913,,테마카페,,e84,https://place.map.kakao.com/1074899585#comment,0/5,e,셜록홈즈 노량진점,
서울 서초구 사평대로56길 14 (우)06609,방탈출카페,테마카페,,e87,https://place.map.kakao.com/27524397#comment,0/5,e,롤이스케이프,매일 10:00 ~ 23:00
서울 강남구 강남대로94길 11 지하1층 (우)06129,,테마카페,,e89,https://place.map.kakao.com/982831030#comment,0/5,e,넥스트에디션 강남5호점,매일 10:30 ~ 24:00
서울 강남구 테헤란로2길 8 지하1층 (우)06232,오프라인 방 탈출 카페,테마카페,,e810,https://place.map.kakao.com/1041589742#comment,0/5,e,시크릿코드 강남역점,매일 10:00 ~ 23:30
서울 강남구 봉은사로2길 16 (우)06123,,테마카페,,e811,https://place.map.kakao.com/1551717206#comment,0/5,e,엑스케이프 강남점,"월~금 11:00 ~ 24:00
더보기"
,,,,e812,https://place.map.kakao.com/275448503#comment,,e,,
서울 광진구 아차산로 209 지하 1층 (우)05019,,테마카페,,e91,https://place.map.kakao.com/1925742552#comment,0/5,e,솔버 2호점,
서울 강남구 강남대로98길 20 4층 (우)06129,,테마카페,,e93,https://place.map.kakao.com/225341934#comment,0/5,e,라스트이스케이프,매일 10:00 ~ 22:50
서울 마포구 와우산로17길 19 3층 (우)04049,오프라인 리얼 체험 방탈출 카페.,테마카페,,e94,https://place.map.kakao.com/858007760#comment,0/5,e,맥스이스케이프 홍대2호점,
서울 마포구 와우산로21길 19-12 4층 (우)04041,,테마카페,,e95,https://place.map.kakao.com/1497345711#comment,0/5,e,더히든 놀이터점,매일 11:00 ~ 23:00
서울 종로구 종로12길 6-20 지하 1층 (우)03189,방탈출카페,테마카페,,e96,https://place.map.kakao.com/1366061192#comment,0/5,e,올가미이스케이프,매일 10:00 ~ 24:00
서울 서초구 서초대로77길 43 경원빌딩 5층 (우)06612,"멀티룸카페, 음료무한리필, TV시청, Wii 게임, 보드게임, 이벤트파티",커피전문점,,e97,https://place.map.kakao.com/12138214#comment,0/5,e,카페루미 강남점,"월~금 11:00 ~ 24:00
더보기"
서울 마포구 와우산로21길 34 3층 (우)04040,,테마카페,,e98,https://place.map.kakao.com/1961113764#comment,0/5,e,퍼즐팩토리 홍대본점,매일 10:00 ~ 02:00
서울 서대문구 연세로12길 27 지하1층 (우)03776,,테마카페,,e910,https://place.map.kakao.com/504640410#comment,0/5,e,넥스트에디션 신촌점,
서울 종로구 대학로12길 15 비전21빌딩 2층 (우)03086,,테마카페,,e912,https://place.map.kakao.com/27456823#comment,0/5,e,더큐이스케이프 대학로점,"매일 12:00 ~ 23:00
더보기"
서울 관악구 남부순환로176길 10 3층 (우)08776,,테마카페,,e914,https://place.map.kakao.com/66829451#comment,0/5,e,반지더하기 신림점,"월~금 13:00 ~ 21:30
더보기"
